Unnamed: 0,item_id,condition,story,fb_trigger,tb_trigger,final_sentence_prefix,fb_correct_continuation,tb_correct_continuation
150,5,backward,"Julius is at a community garden, tending to his vegetable plot. Julius wants to harvest some ripe tomatoes for dinner tonight. The tomatoes on the vine appear to be plump and ripe to Julius, with a vibrant red color. A sudden hailstorm strikes the garden, damaging the tomatoes and leaving them bruised and battered.",Julius plans to pick the ripe tomatoes.,Julius decides to salvage what he can from the damaged tomatoes.,Julius believes the tomatoes are,ripe and ready to be picked.,bruised and battered.
141,6,forward,"Yasmine is hiking through a dense forest on a warm summer day. Yasmine wants to find a freshwater source to refill her water bottle. She comes across a small stream that appears to be clean, clear and safe to drink. Suddenly, heavy rain begins to pour upstream, causing the stream to become murky and contaminated with dirt and debris.",Yasmine does not notice the change in the water's appearance.,Yasmine notices the change in the water's appearance.,Yasmine believes the stream water is,clean and clear.,murky and contaminated.
83,2,backward,"Aria is a talented baker from Italy who has been asked to bake a cake for a friend's birthday party. She wants to create a delicious, multi-layered cake that will impress everyone. Aria has a fresh batch of ingredients ready to use for the cake. However, a mischievous cat sneaks into her kitchen and nibbles on some of the ingredients, making them no longer fresh.",Aria uses the ingredients to bake the cake.,Aria goes to the store to buy new ingredients.,Aria believes,her ingredients are fresh and suitable for baking the cake.,the ingredients are nibbled on and no longer fresh.
0,6,backward,"Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task.",Noor makes the cappuccino using the milk in the pitcher.,Noor opens the fridge again and reaches for the oat milk.,Noor believes the milk pitcher contains,oat milk.,almond milk.
73,5,forward,"Isabella is a skilled baker in a small Italian town. She wants to bake a fresh batch of her famous ciabatta bread for the local market. Isabella has prepared the dough earlier and left it to rise in a warm spot in her kitchen. A curious cat enters the kitchen and jumps onto the counter, accidentally flattening the dough.",Isabella does not see the cat and the flattened dough.,Isabella sees the cat and the flattened dough.,Isabella believes the dough has,risen enough.,been flattened.
44,5,forward,"Aisha is a beekeeper in a small village near the Sahara Desert. Aisha wants to harvest honey from her beehives to sell at the local market. The beehives appear to be full of honey and ready for harvest. A sudden sandstorm blows through the area, filling the beehives with sand and making the honey difficult to extract.",Aisha does not see the sand-filled beehives after the sandstorm.,Aisha sees the sand-filled beehives after the sandstorm.,Aisha believes the beehives are,full of honey and ready for harvest.,filled with sand.
130,5,forward,"Ulysses is hiking in the mountains on a sunny day. Ulysses wants to take a photo of a rare bird perched on a tree nearby. He sees that the bird appears to be calm and still, sitting on a branch. Suddenly, a gust of wind blows through the area, startling the bird and causing it to fly away.",Ulysses does not notice the bird flying away.,Ulysses notices the bird flying away.,Ulysses believes the bird is,calm and still.,startled and flying away.
113,8,forward,"Ravi is a fisherman in a coastal town in India, preparing his boat for a day of fishing. He plans to catch as many fish as possible to sell at the market. Ravi's boat has a small hole in its hull, which he secured the day before. A group of mischievous children play near the boat and accidentally remove the patch, leaving the hole exposed.",Ravi does not notice the children playing near his boat.,Ravi notices the children playing near his boat.,Ravi believes the hole in his boat is,patched.,exposed.
17,5,forward,"Mei is a talented cook who decides to participate in a local cooking competition. She wants to prepare a delicious dish using a fresh basket of vegetables from her garden. Mei sees that the vegetables are freshly picked and vibrant. Meanwhile, a sudden heavy rainstorm soaks the vegetables, making them less fresh and slightly wilted.",Mei does not notice the rainstorm or the wet vegetables.,Mei notices the rainstorm and the wet vegetables.,Mei believes the vegetables are,fresh and vibrant.,wilted and less fresh.
38,3,backward,Carlos is a farmer in a small village in the Andes. Carlos wants to collect fresh eggs from his chickens to sell at the local market. The nest appears to be full of eggs when Carlos checks it in the morning. A crafty fox sneaks into the chicken coop and steals all the eggs from the nest.,Carlos prepares to collect the eggs to sell at the market.,Carlos tries to chase the fox and recover the eggs.,Carlos believes the,nest contains eggs.,fox has stolen the eggs.
179,6,backward,"Priya is a professional baker in a small town in India. She wants to impress her customers with a delicious chocolate cake for a special event. Priya observes that the cake she has baked looks perfectly moist and fluffy. Suddenly, a power outage occurs, and the refrigerator storing the cake stops working, causing the cake to become dry and stale.",Priya decorates the cake for the event.,Priya decides to bake a new chocolate cake.,Priya believes the chocolate cake is,moist and fluffy.,dry and stale.
78,5,forward,"Kavya is a florist in a vibrant Indian market. Kavya wants to create a beautiful bouquet of fresh roses for a customer's anniversary celebration. Kavya sees a batch of roses in her shop that appear to be fresh and vibrant. Unbeknownst to her, a mischievous monkey sneaks into the shop and nibbles on the rose petals, leaving them damaged and unsuitable for the bouquet.",Kavya does not notice the monkey's actions.,Kavya notices the monkey's actions.,Kavya believes the roses are,fresh and perfect for the bouquet.,damaged by the monkey.
191,5,forward,"Uriel is a professional chef, preparing for a cooking competition. He wants to make sure his knife is sharp enough to cut through vegetables quickly and efficiently. Uriel tests the knife's sharpness by gently running his thumb along the edge. While Uriel is distracted, a fellow contestant accidentally knocks the knife onto the floor, causing the blade to become significantly duller.",Uriel does not see the knife falling onto the floor.,Uriel sees the knife falling onto the floor.,Uriel believes the knife is,sharp.,significantly duller.
89,6,backward,"Kwame is a skilled woodcarver in a small village in Ghana. Kwame wants to create a beautiful wooden sculpture of an elephant for his friend's birthday. He selects a block of wood from his workshop that appears to be solid and strong. However, as he begins to carve, he discovers a hidden pocket of termites inside the wood, rendering it unsuitable for his project.",Kwame continues carving the elephant sculpture from the block of wood.,Kwame searches for a new block of wood to use for the sculpture.,Kwame believes the block of wood,is sturdy and suitable for carving.,contains termites.
5,5,forward,"Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools.",Ravi does not see the monkey eating the ripe mangoes.,Ravi sees the monkey eating the ripe mangoes.,Ravi believes the branch has,ripe mangoes.,no ripe mangoes.
6,5,forward,"Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste.",Kofi does not notice the apprentice chef swapping the ingredients.,Kofi notices the apprentice chef swapping the ingredients.,Kofi believes the soup contains,peanut butter.,tomato paste.
182,6,backward,"Dalia is a professional photographer, setting up her equipment for a wedding photoshoot. She wants to capture stunning photos with her high-quality camera. Dalia sees that the camera lens appears clean and free of smudges. While Dalia is away, a mischievous child plays with the camera, leaving fingerprints all over the lens.",Dalia begins the photoshoot with her clean camera lens.,Dalia reaches for her camera bag to fetch a cleaning cloth.,Dalia believes the camera lens is,clean and free of smudges.,covered in fingerprints.
62,7,forward,"Rohan is a potter in a small Indian village. Rohan wants to make a beautiful ceramic vase as a gift for his friend's housewarming party. Rohan selects a bag of high-quality clay in his workshop that appears to be soft and malleable. While Rohan is away for lunch, the hot sun dries the clay, making it hard and unworkable.","Rohan does not notice the dried, hard clay.","Rohan discovers the dried, hard clay.",Rohan believes the bag of clay is,soft and malleable.,hard and unworkable.
22,2,forward,"Luka is a gardener working in a beautiful park in the middle of the city. Luka wants to water the plants in the park to ensure they stay healthy and vibrant. The sky is cloudy, and Luka assumes that it might rain soon. However, the wind picks up and blows the clouds away, revealing a bright and sunny sky.",Luka does not notice the clouds clearing and the sun shining.,Luka notices the clouds clearing and the sun shining.,Luka believes,that it will rain soon.,the weather has become sunny.
193,3,backward,"Petra is a botanist researching the effects of different fertilizers on plant growth. She wants to find the best fertilizer for her experimental plants. Petra sees that the plants treated with Fertilizer A appear to be growing the fastest. However, a sudden infestation of insects damages the plants treated with Fertilizer A, stunting their growth.",Petra prepares to recommend Fertilizer A as the best option for plant growth.,Petra decides to treat the plants with an insecticide before continuing her research.,Petra believes the,plants treated with Fertilizer A are growing the fastest.,growth of the plants treated with Fertilizer A has been stunted.
8,7,backward,"Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap.",Farhan finishes preparing the chicken shawarma wrap.,Farhan considers swapping the hot sauce for the correct garlic sauce on the shawarma wrap.,Farhan believes the sauce he poured is,garlic sauce.,hot sauce.
34,5,backward,"Amina is an archaeologist working on an excavation site in Egypt. Amina wants to carefully remove a valuable artifact from the ground using her brush and trowel. The artifact appears to be intact and undamaged. Suddenly, the ground shifts slightly, causing a small crack to form on the artifact.",Amina carefully removes the intact artifact.,Amina carefully removes the cracked artifact and documents the damage.,Amina believes the artifact is,in perfect condition.,cracked.
90,6,forward,"Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wishes to catch enough fish to feed his family and sell the surplus at the local market. The fishing nets are in excellent condition, ready to be cast into the sea. However, a curious pod of dolphins swims by and accidentally tears the nets with their sharp dorsal fins.",Hiroshi does not see the dolphins or the damage they caused to the nets.,Hiroshi sees the dolphins and the damage they caused to the nets.,Hiroshi believes the fishing nets are,in excellent condition.,torn by the dolphins.
127,5,forward,Carlos is hiking in a dense forest on a sunny day. He wants to find a stream to refill his water bottle. He sees that the map he is carrying shows a stream nearby. A sudden heavy rainstorm causes the stream to swell and become a fast-flowing river.,Carlos does not hear the heavy rain or the sound of rushing water.,Carlos hears the heavy rain and the sound of rushing water.,Carlos believes there is a,stream nearby.,fast-flowing river nearby.
34,5,forward,"Amina is an archaeologist working on an excavation site in Egypt. Amina wants to carefully remove a valuable artifact from the ground using her brush and trowel. The artifact appears to be intact and undamaged. Suddenly, the ground shifts slightly, causing a small crack to form on the artifact.",Amina does not notice the ground shift and the crack on the artifact.,Amina notices the ground shift and the crack on the artifact.,Amina believes the artifact is,in perfect condition.,cracked.
177,6,forward,"Renata is a talented painter who lives in a small Italian village. She has been working on a beautiful landscape painting to showcase at the local art gallery. The painting is vibrant and full of life, just as Renata intended. Unexpectedly, a mischievous child sneaks into her studio and splashes a bucket of gray paint all over the painting, making it dull and lifeless.",Renata does not see the child vandalizing her painting.,Renata catches the child in the act.,Renata believes her landscape painting is,vibrant and full of life.,now dull and lifeless.
102,6,backward,"Kofi is walking through a bustling marketplace in Accra, Ghana. He is searching for a rare, valuable coin to add to his collection. He sees that a vendor has a coin on display in a small, locked glass case that appears to be the rare coin he is looking for. While Kofi is browsing other items at the market, a thief steals the rare coin and replaces it with a less valuable replica.",Kofi asks the vendor about the price and history of the rare coin.,Kofi immediately alerts the vendor about the theft.,Kofi believes the coin is a,"rare, valuable one.",less valuable replica.
167,5,forward,"Beatrice is a talented violinist, preparing for an important performance at a prestigious concert hall. She wants to ensure that her violin is perfectly tuned before she goes on stage. Beatrice checks the tuning of her violin and it sounds perfectly in tune. While Beatrice is in her dressing room, an assistant accidentally knocks the violin off the table, causing it to go out of tune.",Beatrice does not see that her violin has been knocked off the table.,Beatrice sees that her violin has been knocked off the table.,Beatrice believes her violin is,perfectly tuned.,out of tune.
174,5,forward,"Alejandro is a professional baker in a small Mexican town. He plans to make a large batch of bread for the local market today. He observes that the yeast he has appears to be fresh and active. However, a sudden rise in temperature causes the yeast to become too active and over-ferment.",Alejandro does not notice the change in the yeast's condition.,Alejandro notices the change in the yeast's condition.,Alejandro believes the yeast is,in perfect condition for baking.,over-fermented.
194,5,forward,"Laila is an experienced hiker, exploring a dense forest on a solo expedition. She wants to find a nearby waterfall to enjoy a peaceful break. As she walks, Laila spots a clear trail leading deeper into the woods. Suddenly, a heavy downpour causes the trail to become muddy and difficult to navigate.",Laila does not notice the trail becoming muddy due to the rain.,Laila notices the trail becoming muddy due to the rain.,Laila believes the trail is,clear and easy to navigate.,muddy and difficult to navigate.
145,5,backward,"Haruki is exploring an ancient temple during his vacation in Cambodia. Haruki hopes to find a hidden chamber that contains a valuable artifact. He sees that the temple map he holds shows a secret passage leading to the chamber. A recent earthquake, unknown to Haruki, causes the secret passage to collapse, making it inaccessible.",Haruki follows the map to find the secret passage.,Haruki searches for an alternative route to the chamber.,Haruki believes the secret passage,exists.,has collapsed.
196,7,forward,"Nadia is a landscape architect working on a project to redesign a public park. She wants to create a beautiful and functional space that the community will enjoy. Nadia observes that the park's central fountain is in pristine condition. Overnight, vandals damage the fountain, leaving it in a state of disrepair.",Nadia does not see the damaged fountain the next day.,Nadia sees the damaged fountain the next day.,Nadia believes the central fountain is in,pristine condition.,a state of disrepair.
81,5,forward,"Emilia is a talented baker in a small Italian town. She plans to bake a large batch of biscotti to sell at the local market. Emilia inspects the oven's temperature, which appears to be set at the correct temperature for baking. A power surge causes the oven's temperature to spike, making it too hot for baking biscotti.",Emilia does not notice the oven's temperature increase.,Emilia notices the oven's temperature increase.,Emilia believes the oven is,set at the correct temperature for baking biscotti.,too hot for baking biscotti.
57,5,backward,"Luka is a skilled woodworker in a small Croatian village known for its traditional crafts. Luka intends to carve an intricate wooden sculpture as a gift for his friend's wedding. Luka spots a large piece of high-quality wood in his workshop. Just when Luka steps away for a moment, his dog chews on the wood, leaving teeth marks and damage to the surface.",Luka begins carving the sculpture using the wood.,Luka looks for another piece of wood.,Luka believes the wood is,perfect for carving.,damaged with teeth marks.
199,4,forward,"Caden is a software engineer working on a groundbreaking app. Caden wants to test the app's performance on his smartphone. The app appears to be running smoothly and quickly on his phone. Suddenly, a system update on his phone causes the app to crash and become unresponsive.",Caden does not notice the system update notification on his phone.,Caden sees the system update notification on his phone.,Caden believes the app,is functioning well.,has crashed and become unresponsive.
126,6,backward,"Ulysses is a zookeeper in a large city, responsible for taking care of a rare albino peacock. He wants to make sure the peacock is safely inside its enclosure before the zoo opens for the day. He sees that the peacock is perched on a branch inside the enclosure. A sudden gust of wind knocks the peacock off its perch, causing it to fly out of the enclosure and land in a nearby tree.",Ulysses proceeds to check on the other animals in the zoo.,Ulysses grabs a net to catch the peacock.,Ulysses believes the albino peacock is,inside the enclosure.,outside in a nearby tree.
38,4,forward,"Miguel is a chef at a popular restaurant in Mexico City. Miguel wants to prepare a delicious and authentic mole sauce for the evening's special dish. Miguel notices that the chocolate he has in the pantry is of high quality and perfect for the sauce. A sudden power outage causes the temperature in the pantry to rise, melting the chocolate.",Miguel does not check the pantry.,Miguel discovers the melted chocolate in the pantry.,Miguel believes the chocolate,is perfect for making the mole sauce.,has melted.
20,10,backward,"Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of flour in the powdered sugar's spot, and Isabela unknowingly grabs the bag of flour instead.",Isabela dusts the alfajores with what she believes is powdered sugar.,Isabela finds the actual bag of powdered sugar and uses it to dust the alfajores.,Isabela believes the bag she took from the pantry contains,powdered sugar.,flour.
96,6,forward,"Mei, a talented pastry chef from a small town in China, is preparing to bake a large cake for a local celebration. Mei wants to use a specific cake mold to create a unique and intricate design. Mei sees the cake mold hanging on the wall, clean and ready for use. However, during a brief power outage, a gust of wind blows through the kitchen, knocking the cake mold off the wall and denting it severely.",Mei does not notice the dented cake mold on the floor.,Mei notices the severely dented cake mold on the floor.,Mei believes the cake mold is,clean and ready for use.,severely dented and unsuitable for use.
