sentence1,sentence2,is_true
"Mariana Trench -- Four descents have been achieved. The first was the manned descent by Swiss-designed, Italian-built, United States Navy-owned bathyscaphe Trieste which reached the bottom at 1:06 pm on 23 January 1960, with Don Walsh and Jacques Piccard on board. Iron shot was used for ballast, with gasoline for buoyancy. The onboard systems indicated a depth of 11,521 m (37,799 ft), but this was later revised to 10,916 m (35,814 ft). The depth was estimated from a conversion of pressure measured and calculations based on the water density from sea surface to seabed.",has the bottom of the marianas trench been explored,1
"Won't You Be My Neighbor? (film) -- Won't You Be My Neighbor? is a 2018 American documentary film directed by Morgan Neville about the life and guiding philosophy of Fred Rogers, the host and creator of Mister Rogers' Neighborhood. The trailer for the film debuted on what would have been Rogers's 90th birthday, March 20, 2018. The film premiered at the 2018 Sundance Film Festival and was released in the United States on June 8, 2018. It received acclaim from critics and has grossed $18 million.",is wont you be my neighbor a documentary,1
"List of association footballers who died while playing -- The following is a list of association footballers who died while playing a game, died directly from injuries sustained while playing, or died after being taken ill on the pitch. Following an increase in deaths, both during matches and training, FIFA (Federation of International Football Associations) considered mandatory cardiac testing, already in place for years in some countries, such as Italy.",has anyone ever died during a football game,1
"Dot product -- In mathematics, the dot product or scalar product is an algebraic operation that takes two equal-length sequences of numbers (usually coordinate vectors) and returns a single number. In Euclidean geometry, the dot product of the Cartesian coordinates of two vectors is widely used and often called inner product (or rarely projection product); see also inner product space.",is the dot product of two vectors a scalar,1
"Nuclear power in the United States -- Nuclear power in the United States is provided by 99 commercial reactors with a net capacity of 100,350 megawatts (MW), 65 pressurized water reactors and 34 boiling water reactors. In 2016 they produced a total of 805.3 terawatt-hours of electricity, which accounted for 19.7% of the nation's total electric energy generation. In 2016, nuclear energy comprised nearly 60 percent of U.S. emission-free generation.",are there nuclear power plants in the us,1
"Common cold -- Well over 200 virus strains are implicated in causing the common cold, with rhinoviruses being the most common. They spread through the air during close contact with infected people or indirectly through contact with objects in the environment, followed by transfer to the mouth or nose. Risk factors include going to daycare, not sleeping well, and psychological stress. The symptoms are mostly due to the body's immune response to the infection rather than to tissue destruction by the viruses themselves. In contrast, those affected by influenza can show similar symptoms as people with a cold, but symptoms are usually more severe. Additionally, influenza is less likely to result in a runny nose.",are there different strains of the common cold,1
"Cheaper by the Dozen -- Cheaper by the Dozen is a semi-autobiographical novel written by Frank Bunker Gilbreth, Jr. and Ernestine Gilbreth Carey, published in 1948. The novel recounts the authors' childhood lives growing up in a household of 12 kids. The bestselling book was later adapted into a feature film by Twentieth Century Fox in 1950 and followed up by the sequel, Belles on Their Toes (1950), which was adapted as a 1952 film.",is cheaper by the dozen based on a true story,1
"Myofibril -- A myofibril (also known as a muscle fibril) is a basic rod-like unit of a muscle cell. Muscles are composed of tubular cells called myocytes, known as muscle fibers in striated muscle, and these cells in turn contain many chains of myofibrils. They are created during embryonic development in a process known as myogenesis.",is myofibril another name for a muscle fiber,1
"Kuroshio Current -- It begins off the east coast of Luzon, Philippines, Taiwan and flows northeastward past Japan, where it merges with the easterly drift of the North Pacific Current. It is analogous to the Gulf Stream in the Atlantic Ocean, transporting warm, tropical water northward toward the polar region. It is sometimes known as the Black Stream -- the English translation of kuroshio and an allusion to the deep blue of its water -- and also as the ``Japan Current'' (日本海流, Nihon Kairyū).",is there a gulf stream in the pacific,0
"The Walking Dead (video game) -- The game takes place in the same fictional world as the comic, with events occurring shortly after the onset of the zombie apocalypse in Georgia. However, most of the characters are original to the game, which centers on university professor and convicted criminal Lee Everett, who helps to rescue and subsequently care for a young girl named Clementine. Kirkman provided oversight for the game's story to ensure it corresponded to the tone of the comic, but allowed Telltale to handle the bulk of the developmental work and story specifics. Some characters from the original comic book series also make in-game appearances.",is the walking dead game the same as the show,1
"University of St. Thomas (Minnesota) -- The University of St. Thomas (also known as St. Thomas) is a private, Catholic, liberal arts, and archdiocesan university located in St. Paul and Minneapolis, Minnesota. Founded in 1885 as a Catholic seminary, it is named after Thomas Aquinas, the medieval Catholic theologian and philosopher who is the patron saint of students. St. Thomas currently enrolls nearly 10,000 students, making it Minnesota's largest private, non-profit university. Julie Sullivan became the 15th president in the history of the University in 2013.",is the university of st thomas a non profit,1
"East Timor -- East Timor (/-ˈtiːmɔːr/ ( listen)) or Timor-Leste (/tiˈmɔːr ˈlɛʃteɪ/; Tetum: Timór Lorosa'e), officially the Democratic Republic of Timor-Leste (Portuguese: República Democrática de Timor-Leste, Tetum: Repúblika Demokrátika Timór-Leste), is a sovereign state in Maritime Southeast Asia. It comprises the eastern half of the island of Timor, the nearby islands of Atauro and Jaco, and Oecusse, an exclave on the northwestern side of the island surrounded by Indonesian West Timor. Australia is the country's southern neighbor, separated by the Timor Sea. The country's size is about 15,410 km (5,400 sq mi).",is timor leste and east timor the same,1
"Vice President of the United States -- As the Senate president, the vice president presides over its deliberations (or delegates this task to a member of the Senate), but is allowed to vote only when it is necessary to break a tie. While this vote-casting prerogative has been exercised chiefly on legislative issues, it has also been used to break ties on the election of Senate officers, as well as on the appointment of Senate committees. In this capacity, the vice president also presides over joint sessions of Congress.",is the vice president the head of the senate,1
"Footloose (song) -- ``Footloose'' is a song co-written and recorded by American singer-songwriter Kenny Loggins. It was released in January 1984 as the first of two singles by Loggins from the 1984 film of the same name (the other one being ``I'm Free (Heaven Helps the Man)''). The song spent three weeks at number one, March 31--April 14, 1984 on the US Billboard Hot 100, and was the first of two number-one hits from the film. Billboard ranked it at the No. 4 song for 1984.",was the song footloose written for the movie,1
"Boom Gaspar -- Kenneth E. Gaspar (born February 3, 1953), more commonly known as Boom Gaspar, is an American musician who has performed with the American rock band Pearl Jam as a piano/keyboard/organ player since 2002.",is boom gaspar a member of pearl jam,1
"Johnson & Wales University -- Johnson & Wales University (JWU) is an American private, nonprofit, co-educational, career-oriented university with one main and three branch campuses located throughout the United States. Providence, Rhode Island, is home to JWU's first, largest, and main campus. Founded as a business school in 1914 by Gertrude I. Johnson and Mary T. Wales, JWU currently has 15,063 students enrolled in business, arts & sciences, culinary arts, education, engineering, equine management, hospitality, and engineering technology programs across its campuses.",is johnson and wales a for profit school,0
"The Lizzie McGuire Movie -- The film, produced by Stan Rogow, was directed by Jim Fall from a screenplay by Susan Estelle Jansen, Ed Decter and John J. Strauss and filmed on location in Rome, Italy in the fall of 2002. All the series characters reprised their roles except for Lalaine (Miranda Sanchez), who left the series late in the second season to film the Disney Channel original movie You Wish! Her character was said to be on vacation with her family in Mexico City.",was the lizzie mcguire movie filmed in rome,1
"X-Men (film series) -- With eleven films released, the X-Men film series is the sixth highest-grossing film series, having grossed over US$5.7 billion worldwide. It is set to continue with the releases of Dark Phoenix and The New Mutants in 2019.",is there a new x-men movie coming out,1
"Endocannabinoid system -- The endocannabinoid system (ECS) is a biological system composed of endocannabinoids, which are endogenous lipid-based retrograde neurotransmitters that bind to cannabinoid receptors, and cannabinoid receptor proteins that are expressed throughout the mammalian central nervous system (including the brain) and peripheral nervous system. The endocannabinoid system is involved in regulating a variety of physiological and cognitive processes including fertility, pregnancy, during pre- and postnatal development, appetite, pain-sensation, mood, and memory, and in mediating the pharmacological effects of cannabis. The ECS is also involved in mediating some of the physiological and cognitive effects of voluntary physical exercise in humans and other animals, such as contributing to exercise-induced euphoria as well as modulating locomotor activity and motivational salience for rewards. In humans, the plasma concentration of certain endocannabinoids (i.e., anandamide) have been found to rise during physical activity; since endocannabinoids can effectively penetrate the blood--brain barrier, it has been suggested that anandamide, along with other euphoriant neurochemicals, contributes to the development of exercise-induced euphoria in humans, a state colloquially referred to as a runner's high.",does the human body have a cannabinoid system,1
"Wrath of the Titans -- Wrath of the Titans is a 2012 3D epic action adventure fantasy film that is a sequel to the 2010 film Clash of the Titans. The film stars Sam Worthington, Rosamund Pike, Bill Nighy, Édgar Ramírez, Toby Kebbell, Danny Huston, Ralph Fiennes, and Liam Neeson, with Jonathan Liebesman directing a screenplay by Dan Mazeau and David Leslie Johnson. Wrath of the Titans takes place a decade after the events of the preceding film as the gods lose control over the imprisoned Titans (thanks to humanity's lack of prayers which also is draining their immortality) and Perseus is called, this time to rescue his father Zeus, overthrow the Titans, and save mankind.",is wrath of the titans a sequel to clash of the titans,1
"Languages with official status in India -- The Constitution of India designates the official language of the Government of India as Hindi written in the Devanagari script, as well as English. There is no national language as declared by the Constitution of India. Hindi is used for official purposes such as parliamentary proceedings, judiciary, communications between the Central Government and a State Government. States within India have the liberty and powers to specify their own official language(s) through legislation and therefore there are 22 officially recognized languages in India of which Hindi is the most used. The number of native Hindi speakers is about 25% of the total Indian population; however, including dialects of Hindi termed as Hindi languages, the total is around 44% of Indians, mostly accounted from the states falling under the Hindi belt. Other Indian languages are each spoken by around 10% or less of the population.",is hindi is our national language of india,1
"A.D. The Bible Continues -- A.D. The Bible Continues (also known as A.D. Kingdom and Empire) is a television miniseries, based on the Bible, and a sequel to the 2013 miniseries, The Bible. It is produced by Roma Downey, Mark Burnett, and Richard Bedser. The limited series began airing on NBC on Easter Sunday, April 5, 2015, in twelve weekly one-hour episodes. The story takes place immediately after the events of The Bible miniseries, beginning with the crucifixion and resurrection of Jesus, and continues with the first ten chapters of the Acts of the Apostles. On July 3, 2015, NBC cancelled A.D. The Bible Continues after one season. However, producers Burnett and Downey plan future biblical productions on their OTT digital channel.",will there be another season of ad the bible continues,0
"United States heraldry -- Heraldry in the United States was first established by European settlers who brought with them the heraldic customs of their respective countries of origin. As the use of coats of arms may be seen as a custom of royalty and nobility, it had been debated whether the use of arms is reconcilable with American republican traditions. Families from English, Scottish, Irish, Welsh, German, and other European nations with a heraldic tradition have retained their familial coat of arms in the United States. Several ``founding fathers'' also employed personal arms and a great number of Americans continue to do so.",can an american get a coat of arms,1
"Tim Hortons -- 2011 saw Tim Hortons aggressively expanding into the Grand Rapids, Michigan region. In 2012, Tim Hortons began advertising in the Youngstown, Ohio area in anticipation of an eventual expansion into the Mahoning Valley. The closest location at the time was in Calcutta, Ohio, about 50 miles south of Youngstown. The chain entered the area in July 2012 with the opening of a location in Hermitage, Pennsylvania. As of 2012 the company had expanded across the US states of Connecticut, Indiana, Kentucky, Maine, Massachusetts, Michigan, New York, Ohio, Pennsylvania, Rhode Island, and West Virginia. The first expansion into Indiana was the opening of a location in Richmond, Indiana's east central side. On January 7, 2014, Tim Hortons opened a kiosk in the Gila River Arena (where the Arizona Coyotes of the NHL play) in Glendale, Arizona. On March 5, 2014, The Arizona Coyotes announced that as of March 10, 2014, the Tim Hortons stand would be open to the public from 9:00 to 15:00, seven days a week. This location is the first Tim Hortons in Arizona. A flagship Tim Hortons location within the Buffalo area opened across from the KeyBank Center (then First Niagara Center) at the HarborCenter complex on October 29, 2014. The location honours the life and legacy of Tim Horton. 2014 also saw expansion into North Dakota, with franchises open in Fargo, Grand Forks, and Minot. The chain also planned to open 40 outlets in the St. Louis, Missouri area starting in 2015, first selling coffee and hot chocolate at Scottrade Center during St. Louis Blues games, followed by the opening of a full-service store in the suburb of Maplewood and an ``express'' location inside a Frontenac bank building.",are there any tim hortons in the us,1
"Second Amendment to the United States Constitution -- The Second Amendment (Amendment II) to the United States Constitution protects the right of the people to keep and bear arms and was adopted on December 15, 1791, as part of the first ten amendments contained in the Bill of Rights. The Supreme Court of the United States has ruled that the right belongs to individuals for self-defense, while also ruling that the right is not unlimited and does not prohibit all regulation of either firearms or similar devices. State and local governments are limited to the same extent as the federal government from infringing this right, per the incorporation of the Bill of Rights.",was the right to bear arms in the original constitution,0
"Statute of frauds -- In an action for specific performance of a contract to convey land, the agreement must be in writing to satisfy the statute of frauds. The statute is satisfied if the contract to convey is evidenced by a writing or writings containing the essential terms of a purchase and sale agreement and signed by the party against whom the contract is to be enforced. If there is no written agreement, a court of equity can specifically enforce an oral agreement to convey only if the part performance doctrine is satisfied. In most jurisdictions, part performance is proven when the purchaser pays the purchase price, has possession of the land and makes improvements on the land, all with the permission of the seller. No jurisdiction is satisfied by payment of the purchase price alone.",is a purchase price alone considered to be a prove of part performance in any jurisdiction,0
"Ursa Major -- Ursa Major is primarily known from the asterism of its main seven relatively bright stars comprising the ``Big Dipper'', ``the Wagon'', ``Charles's Wain'' or ``the Plough'' (among others), with its stellar configuration mimicking the shape of the ``Little Dipper''.",is the big dipper the same as ursa major,0
"In-N-Out Burger -- In-N-Out Burger is an American regional chain of fast food restaurants with locations primarily in the American Southwest and Pacific coast. It was founded in Baldwin Park, California in 1948 by Harry Snyder and Esther Snyder. The chain is currently headquartered in Irvine, California and has slowly expanded outside Southern California into the rest of California, as well as into Arizona, Nevada, Utah, Texas, and Oregon. The current owner is Lynsi Snyder, the Snyders' only grandchild.",are there in and out burgers in ohio,0
"Czechoslovakia -- Czechoslovakia, or Czecho-Slovakia (/ˌtʃɛkoʊsloʊˈvækiə, -kə-, -slə-, -ˈvɑː-/; Czech and Slovak: Československo, Česko-Slovensko), was a sovereign state in Central Europe that existed from October 1918, when it declared its independence from the Austro-Hungarian Empire, until its peaceful dissolution into the Czech Republic and Slovakia on 1 January 1993.",is the czech republic and czechoslovakia the same thing,0
"Everything, Everything (film) -- Everything, Everything is a 2017 American romantic drama film directed by Stella Meghie and written by J. Mills Goodloe, based on the 2015 novel of the same name by Nicola Yoon. The film follows a young woman named Maddy (Amandla Stenberg) who is prevented by virtue of illness from going outside her house, and her neighbor Olly (Nick Robinson) who wants to help her experience life.",was everything everything based on a true story,0
"Solo Cup Company -- In the 1970s, Hulseman's son, Robert Leo Hulseman, came up with the now-ubiquitous red Solo cup. The red Solo cups are made of thick, molded polystyrene. They are known for being able to withstand drops, easily stackable, and disposable while price accessible. Their characteristic red color may conceal the drinking contents.",did we have red solo cups in 1982,1
"Mercury (planet) -- Like Venus, Mercury orbits the Sun within Earth's orbit as an inferior planet, and never exceeds 28° away from the Sun. When viewed from Earth, this proximity to the Sun means the planet can only be seen near the western or eastern horizon during the early evening or early morning. At this time it may appear as a bright star-like object, but is often far more difficult to observe than Venus. The planet telescopically displays the complete range of phases, similar to Venus and the Moon, as it moves in its inner orbit relative to Earth, which reoccurs over the so-called synodic period approximately every 116 days.",does mercury stay a constant distance from the sun year after year,1
"Daytime -- Although the daytime length at the Equator remains 12 hours in all seasons, the duration at all other latitudes varies with the seasons. During the winter, daytime lasts shorter than 12 hours; during the summer, it lasts longer than 12 hours. Northern winter and southern summer concur, while northern summer and southern winter concur.",do the days get longer and shorter at the equator,0
"Summer solstice -- The summer solstice (or estival solstice), also known as midsummer, occurs when one of the Earth's poles has its maximum tilt toward the Sun. It happens twice yearly, once in each hemisphere (Northern and Southern). For that hemisphere, the summer solstice is when the Sun reaches its highest position in the sky and is the day with the longest period of daylight. At the pole, there is continuous daylight around the summer solstice. On the summer solstice, Earth's maximum axial tilt toward the Sun is 23.44°. Likewise, the Sun's declination from the celestial equator is 23.44°.",is the summer soltice the longest day of the year,1
"India at the Olympics -- India first participated at the Olympic Games in 1900, with a lone athlete (Norman Pritchard) winning two medals- both silver- in athletics. The nation first sent a team to the Summer Olympic Games in 1920, and has participated in every Summer Games since then. India has also competed at several Winter Olympic Games beginning in 1964. Indian athletes have won a total of 28 medals so far, all at the Summer Games. For a period of time, India national field hockey team was dominant in Olympic competition, winning eleven medals in twelve Olympics between 1920 and 1980. The run included 8 gold medals total and six successive gold medals from 1928--1956",has india won a gold medal in olympics,1
"Statute of limitations -- Crimes considered heinous by society have no statute of limitations. Although there is usually no statute of limitations for murder (particularly first-degree murder), judges have been known to dismiss murder charges in cold cases if they feel the delay violates the defendant's right to a speedy trial. For example, waiting many years for an alibi witness to die before commencing a murder trial would be unconstitutional. In 2003, the U.S. Supreme Court in Stogner v. California ruled that the retroactive extension of the statute of limitations for sexual offenses committed against minors was an unconstitutional ex post facto law.",does the statute of limitations apply to all crimes,0
"Monarchy of Canada -- As all executive authority is vested in the sovereign, their assent is required to allow for bills to become law and for letters patent and orders in council to have legal effect. While the power for these acts stems from the Canadian people through the constitutional conventions of democracy, executive authority remains vested in the Crown and is only entrusted by the sovereign to their government on behalf of the people, underlining the Crown's role in safeguarding the rights, freedoms, and democratic system of government of Canadians, and reinforcing the fact that ``governments are the servants of the people and not the reverse''. Thus, within a constitutional monarchy the sovereign's direct participation in any of these areas of governance is limited, with the sovereign normally exercising executive authority only on the advice of the executive committee of the Queen's Privy Council for Canada, with the sovereign's legislative and judicial responsibilities largely carried out through parliamentarians as well as judges and justices of the peace. The Crown today primarily functions as a guarantor of continuous and stable governance and a nonpartisan safeguard against abuse of power, the sovereign acting as a custodian of the Crown's democratic powers and a representation of the ``power of the people above government and political parties''.",does the british monarchy have any power in canada,1
"List of teams to overcome 3–1 series deficits -- NBA teams have overcome 3--1 deficits 11 times, only one of which occurred in the NBA Finals.",has any nba team came back from 3-1 in the finals,1
"MetLife Stadium -- MetLife Stadium is an American sports stadium located in East Rutherford, New Jersey, 8 miles outside of New York City. It is part of the Meadowlands Sports Complex and serves as the home stadium for two National Football League (NFL) franchises: the New York Giants and the New York Jets. The stadium is owned by the MetLife Stadium Company, a joint venture of the Giants and Jets, who jointly built the stadium using private funds on land owned by the New Jersey Sports and Exposition Authority. The stadium opened as New Meadowlands Stadium in 2010. In 2011, MetLife, an insurance company based in New York City, acquired the naming rights to the stadium. At a construction cost of approximately $1.6 billion, it was the most expensive stadium ever built, at the time it opened, and is the second-largest stadium in the NFL in terms of seating capacity.",do the jets and giants share a stadium,1
"America's Got Talent -- In the ninth season, the show added a new format to the auditions in the form of the ``Golden Buzzer'', which began to make appearances within the Got Talent franchise, since it was first introduced on Germany's Got Talent. During auditions, each judge is allowed to use the Golden Buzzer to send an act automatically into the live shows, regardless of the opinion of the other judges; when it was initially used, the buzzer simply saved an act from elimination. The only rule to the buzzer was that a judge could use it only once per season; the host was later allowed to use the Golden Buzzer for an act from the eleventh season.",does the host of americas got talent get a golden buzzer,1
"Undergraduate degree -- An undergraduate degree (also called first degree, bachelor's degree or simply degree) is a colloquial term for an academic degree taken by a person who has completed undergraduate courses. It is usually offered at an institution of higher education, such as a university. The most common type of this degree is the bachelor's degree, which typically takes at least three or four years to complete. These degrees can be categorised as basic degrees.",is a bachelor degree considered an undergraduate degree,1
"2018 FIFA World Cup qualification – UEFA Group H -- The group winners, Belgium, qualified directly for the 2018 FIFA World Cup. The group runners-up, Greece, advanced to the play-offs as one of the best 8 runners-up, where they lost to Croatia and thus failed to qualify for the first time since 2010.",did greece qualify for the 2018 world cup,0
"The View (talk show) -- In November 2008, the show's post-election day telecast garnered the biggest audience in the show's history at 6.2 million in total viewers, becoming the week's most-watched program in daytime television. It was surpassed on July 29, 2010, during which former President Barack Obama first appeared as a guest on The View, which garnered a total of 6.6 million viewers. In 2013, the show was reported to be averaging 3.1 million daily viewers, which outpaced rival talk show The Talk.",is the view and the talk the same show,0
"Alternative fuel vehicle -- An alternative fuel vehicle is a vehicle that runs on a fuel other than traditional petroleum fuels (petrol or Diesel fuel); and also refers to any technology of powering an engine that does not involve solely petroleum (e.g. electric car, hybrid electric vehicles, solar powered). Because of a combination of factors, such as environmental concerns, high oil prices and the potential for peak oil, development of cleaner alternative fuels and advanced power systems for vehicles has become a high priority for many governments and vehicle manufacturers around the world.",can a car run on anything other than gas,1
"Germany in the Eurovision Song Contest -- Germany first won the contest at the 27th attempt in 1982 in Harrogate, when Nicole won with the song ``Ein bisschen Frieden'' (A Little Peace). The second German victory came 28 years later at the 2010 contest in Oslo, when Lena won with ``Satellite''. Katja Ebstein, who finished third in 1970 and 1971, then second in 1980, is the only performer to have made the top three on three occasions. Germany has a total of 11 top three placements, also finishing second with Lena Valaitis (1981) and twice with the group Wind (1985 and 1987), and finishing third with Mary Roos (1972), Mekado (1994) and Surpriz (1999). Germany has finished last on seven occasions, receiving nul points in 1964, 1965 and 2015.",has germany ever won the eurovision song contest,1
"Cyborg (comics) -- Cyborg is a fictional superhero appearing in American comic books published by DC Comics . The character was created by writer Marv Wolfman and artist George Pérez and first appears in a special insert in DC Comics Presents #26 (October 1980). Originally known as a member of the Teen Titans, Cyborg was established as a founding member of the Justice League in DC's 2011 reboot of its comic book titles and subsequently in the 2016 relaunch of its continuity. However, he has since been re-established as a past member of the Teen Titans again.",is cyborg a member of the justice league,1
"Certified copy -- A certified copy is a copy (often a photocopy) of a primary document that has on it an endorsement or certificate that it is a true copy of the primary document. It does not certify that the primary document is genuine, only that it is a true copy of the primary document.",is a certified copy the same as an original uk,0
"List of specialized agencies of the United Nations -- The World Bank Group is part of the United Nations system and has a formal relationship agreement with the UN, but retains its independence. The WBG comprises a group of five legally separate but affiliated institutions: the International Bank for Reconstruction and Development (IBRD), the International Finance Corporation (IFC), the International Development Association (IDA), the Multilateral Investment Guarantee Agency (MIGA), and the International Centre for Settlement of Investment Disputes (ICSID). It is a vital source of financial and technical assistance to developing countries around the world. Its mission is to fight poverty with passion and professionalism for lasting results and to help people help themselves and their environment by providing resources, sharing knowledge, building capacity and forging partnerships in the public and private sectors. The WBG headquarters are located in Washington, D.C., United States of America.",is the world bank affiliated with the united nations,1
Nissan Titan -- The Nissan Titan is a full-size pickup truck manufactured in the United States for the North American market by Nissan. It was named for the Titans of Greek mythology.,is a nissan titan a full size truck,1
"U.S. history of alcohol minimum purchase age by state -- From 1976 to 1983, several states voluntarily raised their purchase ages to 19 (or, less commonly, 20 or 21), in part to combat drunk driving fatalities. In 1984, Congress passed the National Minimum Drinking Age Act, which required states to raise their ages for purchase and public possession to 21 by October 1986 or lose 10% of their federal highway funds. By mid-1988, all 50 states and the District of Columbia had raised their purchase ages to 21 (but not Puerto Rico, Guam, or the Virgin Islands, see Additional Notes below). South Dakota and Wyoming were the final two states to comply with the age 21 mandate. The current drinking age of 21 remains a point of contention among many Americans, because of it being higher than the age of majority (18 in most states) and higher than the drinking ages of most other countries. The National Minimum Drinking Age Act is also seen as a congressional sidestep of the tenth amendment. Although debates have not been highly publicized, a few states have proposed legislation to lower their drinking age, while Guam has raised its drinking age to 21 in July 2010.",is there a state where the drinking age is 18,0
"Skunks as pets -- Although capable of living indoors with humans similarly to cats or dogs, pet skunks are relatively rare, partly due to restrictive laws and the complexity of their care. Pet skunks are mainly kept in the United States, Canada, Germany, the Netherlands, Poland, and Italy.",can u have a skunk as a pet,1
"Fred Sirieix -- He lives in Peckham, south London. During an interview for the Daily Mail in 2016, Sirieix said that he was living with his former partner and their two children, but was in a new relationship. In 2018, Sirieix announced he was in a relationship, referring to his partner only as his 'fruitcake'.",does fred from first dates have a partner,1
"Grade retention -- ``Grade retention'' or ``grade repetition'' is the process of a kindergarten through twelfth grade student repeating the same grade due to failing it the previous year, these students are referred to as ``repeaters''. Repeaters can also be referred to as having been ``held back''. Students do not necessarily repeat in the same classroom, only the same grade.",can you get held back in elementary school,1
